segment_id,method,milliseconds
1,wavelet_only,0.102458
1,dae_after_wavelet,0.499041
1,hybrid_wavelet_dae,0.5825
2,wavelet_only,0.092959
2,dae_after_wavelet,0.489459
2,hybrid_wavelet_dae,0.567291
3,wavelet_only,0.09325
3,dae_after_wavelet,0.482875
3,hybrid_wavelet_dae,0.560125
4,wavelet_only,0.091916
4,dae_after_wavelet,0.493792
4,hybrid_wavelet_dae,0.574125
5,wavelet_only,0.0935
5,dae_after_wavelet,0.483333
5,hybrid_wavelet_dae,0.552042
6,wavelet_only,0.107667
6,dae_after_wavelet,0.422708
6,hybrid_wavelet_dae,0.497625
7,wavelet_only,0.079125
7,dae_after_wavelet,0.419959
7,hybrid_wavelet_dae,0.499625
8,wavelet_only,0.089916
8,dae_after_wavelet,0.430666
8,hybrid_wavelet_dae,0.539292
9,wavelet_only,0.092167
9,dae_after_wavelet,0.480292
9,hybrid_wavelet_dae,0.590167
10,wavelet_only,0.1245
10,dae_after_wavelet,0.549666
10,hybrid_wavelet_dae,0.561084
11,wavelet_only,0.091459
11,dae_after_wavelet,0.463958
11,hybrid_wavelet_dae,0.524291
12,wavelet_only,0.113084
12,dae_after_wavelet,0.44025
12,hybrid_wavelet_dae,0.553416
13,wavelet_only,0.097084
13,dae_after_wavelet,0.461333
13,hybrid_wavelet_dae,0.526625
14,wavelet_only,0.092833
14,dae_after_wavelet,0.424208
14,hybrid_wavelet_dae,0.527416
15,wavelet_only,0.095709
15,dae_after_wavelet,0.429
15,hybrid_wavelet_dae,0.496667
16,wavelet_only,0.093583
16,dae_after_wavelet,0.464
16,hybrid_wavelet_dae,0.512917
17,wavelet_only,0.094292
17,dae_after_wavelet,0.414875
17,hybrid_wavelet_dae,0.495166
18,wavelet_only,0.092625
18,dae_after_wavelet,0.475792
18,hybrid_wavelet_dae,0.583584
19,wavelet_only,0.112458
19,dae_after_wavelet,0.440667
19,hybrid_wavelet_dae,0.498958
20,wavelet_only,0.096542
20,dae_after_wavelet,0.427542
20,hybrid_wavelet_dae,0.571917
