analysis_name,artifact_type,target_snr_db,method,n_pairs,mean_pearson_correlation,std_pearson_correlation,mean_peak_amplitude_difference,std_peak_amplitude_difference,mean_peak_latency_difference_samples,std_peak_latency_difference_samples
ERP-like morphology preservation,blink,-5.0,hybrid_wavelet_dae,90,0.7270003874386657,0.07306411202017475,-199.8883622059489,987.3548110584699,20.91111111111111,164.23329832786786
ERP-like morphology preservation,blink,-5.0,wavelet_only,90,0.41234648161521126,0.10169065305015183,-361.18341202883664,1480.7540723432753,57.766666666666666,220.53153612797945
ERP-like morphology preservation,blink,0.0,hybrid_wavelet_dae,90,0.8053064378603404,0.04784322515463223,-153.7914005987037,862.2245098630337,8.533333333333333,155.4770260134195
ERP-like morphology preservation,blink,0.0,wavelet_only,90,0.6180552127572759,0.05882023514183232,-247.20794497752775,1062.2087205296384,46.46666666666667,185.9117345239613
ERP-like morphology preservation,blink,5.0,hybrid_wavelet_dae,90,0.8511150031165126,0.03126565776657154,-71.90206796688973,786.8028323319504,1.8222222222222222,124.79651552483777
ERP-like morphology preservation,blink,5.0,wavelet_only,90,0.7951328269624807,0.022484784960132592,-174.05862715931062,717.5890605899656,12.222222222222221,134.5145894746109
ERP-like morphology preservation,mixed,-5.0,hybrid_wavelet_dae,90,0.5599458399468159,0.10941910803912479,-275.9784098029341,806.6859505269371,-4.177777777777778,192.30900799703585
ERP-like morphology preservation,mixed,-5.0,wavelet_only,90,0.36612413838953817,0.10110226049350812,-231.77069480167964,1243.73929757844,58.022222222222226,230.6301079469796
ERP-like morphology preservation,mixed,0.0,hybrid_wavelet_dae,90,0.7319725798791766,0.05855695306627807,-142.1433606762159,672.7291052860201,7.377777777777778,156.2834199964691
ERP-like morphology preservation,mixed,0.0,wavelet_only,90,0.5950412423932289,0.05618144660615952,-110.04388528704672,747.8880190111439,34.6,179.6149939938638
ERP-like morphology preservation,mixed,5.0,hybrid_wavelet_dae,90,0.8264761220854472,0.029759721891980145,-66.07567045035125,656.6361319849789,17.966666666666665,147.60214136262204
ERP-like morphology preservation,mixed,5.0,wavelet_only,90,0.7887783515926131,0.023455045694194432,-121.52691973487296,618.326251761489,5.977777777777778,143.85276319262107
ERP-like morphology preservation,muscle,-5.0,hybrid_wavelet_dae,90,0.5714565521262198,0.10393346676620603,-208.90698228517036,823.1640025803637,-15.066666666666666,199.6575607710204
ERP-like morphology preservation,muscle,-5.0,wavelet_only,90,0.5016971438746464,0.09202999933805407,-257.85482768411856,1278.5936976411992,63.733333333333334,234.06619634125497
ERP-like morphology preservation,muscle,0.0,hybrid_wavelet_dae,90,0.7296943752225303,0.06014454260245348,-184.62184919292466,691.7721415502898,-3.8222222222222224,166.5677699092304
ERP-like morphology preservation,muscle,0.0,wavelet_only,90,0.6909051065981853,0.048067982305052326,-207.74542908786995,812.8221604024214,51.166666666666664,228.79465549269824
ERP-like morphology preservation,muscle,5.0,hybrid_wavelet_dae,90,0.8212138209466494,0.030802063772592786,-122.8521159214487,620.0293087997358,-0.5333333333333333,147.5059473186828
ERP-like morphology preservation,muscle,5.0,wavelet_only,90,0.8268356294485633,0.024924219922449087,-123.74556972863697,528.3451846717131,7.822222222222222,171.48266710837498
