pair_id,split,clean_epoch_id,artifact_epoch_id,artifact_type,target_snr_db,method,snr_db,snr_gain_db,rmse,rrmse
0,test,403,eog:403,blink,-5.0,noisy_input,-5.000000000000001,0.0,268.9529320876827,1.7782794100389228
0,test,403,eog:403,blink,-5.0,wavelet_only,-5.13199717389357,-0.13199717389356902,273.07135287754267,1.8055098359563342
0,test,403,eog:403,blink,-5.0,hybrid_wavelet_dae,-0.47380453197474115,4.52619546802526,159.7226510246606,1.0560639716000109
1,test,13,eog:13,blink,-5.0,noisy_input,-5.000000000000001,0.0,277.59197811828096,1.7782794100389232
1,test,13,eog:13,blink,-5.0,wavelet_only,-5.149090070389245,-0.14909007038924393,282.3978690196659,1.8090663834045033
1,test,13,eog:13,blink,-5.0,hybrid_wavelet_dae,2.8422327423357743,7.842232742335775,112.53698470293641,0.7209221394712844
2,test,189,eog:189,blink,-5.0,noisy_input,-5.0,0.0,262.02478500788385,1.7782794100389228
2,test,189,eog:189,blink,-5.0,wavelet_only,-5.151175962113996,-0.15117596211399587,266.6251859979907,1.8095008777271169
2,test,189,eog:189,blink,-5.0,hybrid_wavelet_dae,1.173039560924229,6.173039560924229,128.73314971531335,0.8736712045057563
3,test,87,eog:87,blink,-5.0,noisy_input,-5.000000000000001,0.0,396.36839845189934,1.7782794100389228
3,test,87,eog:87,blink,-5.0,wavelet_only,-5.1387662366706355,-0.1387662366706346,402.7516550065575,1.8069174491572761
3,test,87,eog:87,blink,-5.0,hybrid_wavelet_dae,1.41254097641325,6.412540976413251,189.44012563563226,0.8499100235255328
4,test,483,eog:483,blink,-5.0,noisy_input,-5.0,0.0,666.7909732296986,1.7782794100389228
4,test,483,eog:483,blink,-5.0,wavelet_only,-5.096402341078984,-0.09640234107898404,674.232726605198,1.7981259846530628
4,test,483,eog:483,blink,-5.0,hybrid_wavelet_dae,2.4977841362522004,7.4977841362522,281.2551639907205,0.7500855398045789
5,test,5,eog:5,blink,-5.0,noisy_input,-5.000000000000001,0.0,344.8956369225589,1.7782794100389228
5,test,5,eog:5,blink,-5.0,wavelet_only,-5.155075086622696,-0.15507508662269487,351.10858996248527,1.810313350987038
5,test,5,eog:5,blink,-5.0,hybrid_wavelet_dae,0.5396252878316045,5.539625287831606,182.2663245499714,0.9397638514153263
6,test,571,eog:571,blink,-5.0,noisy_input,-5.000000000000001,0.0,217.9439578008907,1.7782794100389232
6,test,571,eog:571,blink,-5.0,wavelet_only,-5.197895895018275,-0.19789589501827454,222.96650587819727,1.8192601003132756
