artifact_type,target_snr_db,metric,comparison,baseline_method,treatment_method,n_pairs,wilcoxon_statistic,p_value,effect_size_r,cohens_d,p_value_bonferroni,significant_bonferroni_0_05
blink,-5.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,6.645113515680586,1.5694110150382907e-15,True
blink,-5.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,6.715874644384428,1.5694110150382907e-15,True
blink,0.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,4.731062271707178,1.5694110150382907e-15,True
blink,0.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,5.26563919289212,1.5694110150382907e-15,True
blink,5.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,3326.0,1.342700038988929e-07,0.5422553682792128,0.6148452820320497,2.416860070180072e-06,True
blink,5.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,4092.0,9.643647203314191e-17,0.8671420418043416,2.599844298325757,1.7358564965965545e-15,True
mixed,-5.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,7.3256372209376925,1.5694110150382907e-15,True
mixed,-5.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,4.628132442898301,1.5694110150382907e-15,True
mixed,0.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,4.371811830998852,1.5694110150382907e-15,True
mixed,0.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,3.567780357003204,1.5694110150382907e-15,True
mixed,5.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,2134.0,0.3639016622849146,0.03668759433410396,0.023910862054511983,1.0,False
mixed,5.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,4057.0,3.0928785659129336e-16,0.8522973504552821,1.7638696253130564,5.56718141864328e-15,True
muscle,-5.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,7.201029906564279,1.5694110150382907e-15,True
muscle,-5.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,3965.0,6.029070471683202e-15,0.813277018909183,1.033278162987257,1.0852326849029763e-13,True
muscle,0.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,4095.0,8.718950083546059e-17,0.8684144439199751,3.8428766656782067,1.5694110150382907e-15,True
muscle,0.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,3502.0,2.421841710024472e-09,0.6169029590630544,0.7123992767620556,4.35931507804405e-08,True
muscle,5.0,snr_db,hybrid_vs_noisy,noisy_input,hybrid_wavelet_dae,90,1601.0,0.9637986041417965,-0.18937584821014355,-0.17913992396841336,1.0,False
muscle,5.0,snr_db,hybrid_vs_wavelet,wavelet_only,hybrid_wavelet_dae,90,1635.0,0.9515197978480873,-0.17495529089962872,-0.17894336544436307,1.0,False
